site_code,SppRich,Simp,Shan,EvenJ,E10,Abund,S_PIE,Turnover,Turnover_app,Turnover_disapp,rare.sppRich,ept_spp_richness,ept_abundance,crustacea_spp_richness,crustacea_abundance,diptera_spp_richness,diptera_abundance,mollusc_spp_richness,mollusc_abundance,insect_spp_richness,insect_abundance,annelid_spp_richness,annelid_abundance
LTR43_2015,30,0.918086011,2.854745344,0.839335394,0.095158178,197,12.94835681,0.571428571,0.285714286,0.285714286,30,8,36,6,10,3,36,5,49,20,115,4,23
LTR43_2016,29,0.695697994,1.955347597,0.580687797,0.067425779,326,3.309489598,0.56097561,0.268292683,0.292682927,23.92814427,9,222,6,18,5,12,5,40,20,255,3,13
LTR43_2017,22,0.872578524,2.36686493,0.76571738,0.10758477,448,7.970070843,0.756097561,0.292682927,0.463414634,18.21158678,8,142,6,29,2,128,5,35,13,279,3,105
LTR43_2020,17,0.853841916,2.257545553,0.796814528,0.132796797,359,6.955406429,0.78125,0.3125,0.46875,16.15220138,1,24,6,8,0,0,5,194,8,57,3,100
LTR450_2010,17,0.903035714,2.508164007,0.885271846,0.147539059,1120,10.39962825,NA,NA,NA,15.45652137,8,645,2,152,1,122,3,56,10,866,2,46
LTR450_2012,14,0.744015253,1.780225555,0.674568731,0.127158968,119,4.005134056,0.76,0.32,0.44,13.7435513,2,5,2,28,2,53,2,3,7,68,3,20
LTR450_2013,15,0.744604866,1.803383317,0.665934227,0.120225554,181,3.979965795,0.681818182,0.363636364,0.318181818,13.37473993,4,22,2,56,1,14,2,3,9,44,2,78
LTR450_2014,17,0.912263374,2.581829164,0.911272414,0.151872304,135,12.35655738,0.608695652,0.347826087,0.260869565,16.50662147,4,37,3,34,1,4,2,20,10,67,2,14
LTR450_2015,14,0.796146918,1.956125584,0.74122133,0.139723256,113,5.082730924,0.76,0.32,0.44,14,1,21,2,47,0,0,0,0,6,27,5,37
LTR450_2016,24,0.822440217,2.227202278,0.700806971,0.092800095,970,5.658956266,0.882352941,0.588235294,0.294117647,16.41021193,8,284,2,351,1,39,8,240,12,333,2,46
LTR450_2017,16,0.880999343,2.397493043,0.864712831,0.149843315,156,8.824817518,0.787878788,0.272727273,0.515151515,15.80114413,4,23,2,32,1,33,3,33,9,73,2,18
LTR450_2020,18,0.800458133,2.104412572,0.728076783,0.11691181,421,5.059806559,0.692307692,0.384615385,0.307692308,14.73416232,1,4,2,47,0,0,8,171,5,22,3,181
LTR50_2010,5,0.584444444,1.152551392,0.716120444,0.230510278,30,2.529069767,NA,NA,NA,5,1,2,0,0,0,0,1,18,3,6,1,6
LTR50_2012,21,0.909916766,2.644305328,0.868545193,0.125919301,1740,11.16569986,0.818181818,0.772727273,0.045454545,12.7040984,6,617,1,144,1,68,8,840,10,696,2,60
LTR50_2013,12,0.883051451,2.287492779,0.920554814,0.190624398,331,8.751001442,0.730769231,0.192307692,0.538461538,9.961639511,1,8,0,0,1,65,4,128,6,158,2,45
LTR50_2014,21,0.90375434,2.557392406,0.839997884,0.121780591,491,10.59307855,0.777777778,0.555555556,0.222222222,11.76985633,6,47,2,73,1,56,5,219,11,143,3,56
LTR50_2015,26,0.925368442,2.84608982,0.873543736,0.109464993,564,13.70089748,0.694444444,0.416666667,0.277777778,14.2017489,4,137,3,18,1,39,6,211,13,285,4,50
LTR50_2016,22,0.874714468,2.347226502,0.759364046,0.106692114,809,8.051337636,0.628571429,0.257142857,0.371428571,10.19150798,1,36,1,9,2,49,6,624,11,131,4,45
LTR50_2017,29,0.940971632,3.045096547,0.904315124,0.105003329,406,17.63513514,0.725,0.45,0.275,15.98857606,7,110,2,24,1,19,7,173,18,180,2,29
LTR50_2020,24,0.874314129,2.585368251,0.813506753,0.107723677,216,8.222379603,0.641025641,0.256410256,0.384615385,13.15179008,2,12,2,30,1,64,8,57,11,110,3,19
LTR612_2010,7,0.571851852,1.228758396,0.631456903,0.175536914,45,2.408759124,NA,NA,NA,7,0,0,1,3,1,8,2,29,3,11,1,2
LTR612_2011,12,0.220027461,0.547015221,0.220135119,0.045584602,2056,1.282272441,0.642857143,0.5,0.142857143,4.005652992,1,1,2,130,1,56,4,1843,5,60,1,23
LTR612_2012,8,0.47396918,1.104595128,0.531197971,0.138074391,49,1.937397035,0.75,0.25,0.5,7.673030452,0,0,2,2,1,4,4,42,1,4,1,1
LTR612_2013,7,0.746038932,1.591214233,0.817722357,0.227316319,47,4.206225681,0.636363636,0.272727273,0.363636364,6.956521739,1,4,1,1,0,0,4,31,1,4,1,11
LTR612_2014,13,0.475030912,1.134085343,0.442147265,0.087237334,646,1.907550176,0.571428571,0.5,0.071428571,6.580011013,0,0,2,3,3,60,4,112,3,60,4,471
LTR612_2015,20,0.778475052,2.023629753,0.675504207,0.101181488,442,4.550424876,0.625,0.458333333,0.166666667,11.0308285,0,0,3,119,3,35,6,58,5,42,5,222
LTR612_2016,30,0.765720784,2.03678656,0.598843975,0.067892885,1003,4.282379711,0.571428571,0.428571429,0.142857143,11.53740976,5,10,3,62,2,416,10,157,11,438,6,346
LTR612_2017,10,0.785218254,1.765542286,0.766765272,0.176554229,336,4.707259953,0.787878788,0.090909091,0.696969697,7.647892118,0,0,3,208,2,41,2,74,4,51,1,3
LTR612_2020,31,0.843535532,2.237258177,0.651504517,0.072169619,1785,6.410600186,0.757575758,0.696969697,0.060606061,11.195392,5,68,3,96,4,1082,11,278,13,1181,4,230
LTR62_2010,26,0.872790667,2.452983496,0.752888525,0.094345519,302,8.044424779,NA,NA,NA,20.82006436,9,48,2,26,0,0,4,98,17,133,3,45
LTR62_2012,15,0.884747796,2.337520872,0.863174867,0.155834725,991,8.744429391,0.828571429,0.257142857,0.571428571,13.60714601,5,220,0,0,2,138,4,309,10,497,1,185
LTR62_2013,28,0.845786488,2.291271142,0.687614201,0.081831112,964,6.521658494,0.805555556,0.583333333,0.222222222,20.24467606,7,353,3,302,1,145,5,71,17,572,3,19
LTR62_2014,29,0.899623757,2.737368062,0.812927702,0.094392002,244,10.3440335,0.674418605,0.348837209,0.325581395,26.24783568,9,88,1,15,5,20,4,32,22,140,2,57
LTR62_2015,29,0.851132544,2.4933716,0.740467047,0.085978331,261,6.868421053,0.388888889,0.194444444,0.194444444,24.86504312,11,156,0,0,4,24,4,14,22,207,2,32
