"","FRic.SES","FRic.SES.sig"
"LTR78_2012_11.9.2012",0.0957286776130527,0
"LTR78_2013_18.9.2013",-0.615722556445422,0
"LTR78_2014_14.10.2014",0.139379438077353,0
"LTR78_2015_16.9.2015",-0.942237789045122,0
"LTR78_2016_13.9.2016",2.26526752359383,1
"LTR78_2017_5.10.2017",0.490606990790162,0
"LTR78_2020_15.9.2020",0.412484848629224,0
"LTR787_2010_7.10.2010",-2.53242471362537,1
"LTR787_2012_27.9.2012",-2.04604759283426,1
"LTR787_2013_24.9.2013",-2.90241486083634,1
"LTR787_2014_25.9.2014",-0.417408878419862,0
"LTR787_2015_12.10.2015",-1.78855516438074,1
"LTR787_2016_29.9.2016",-2.34271077173585,1
"LTR787_2017_3.10.2017",-1.80905854282998,1
"LTR787_2020_19.10.2020",0.441695438661767,0
"LTR79_2010_12.10.2010",1.206762887606,0
"LTR79_2011_13.9.2011",-0.0993719440384053,0
"LTR79_2012_11.9.2012",0.0568799001792457,0
"LTR79_2013_18.9.2013",-0.883821963374198,0
"LTR79_2014_14.10.2014",-0.371143496537812,0
"LTR79_2015_16.9.2015",-0.771043312342577,0
"LTR79_2016_13.9.2016",1.18097964074067,0
"LTR79_2017_5.10.2017",0.333036352773172,0
"LTR79_2020_15.9.2020",0.0317824957499584,0
"LTR82_2010_7.10.2010",-1.81610299522414,1
"LTR82_2012_27.9.2012",-0.919031014574973,0
"LTR82_2013_30.9.2013",-0.98962071119312,0
"LTR82_2014_17.9.2014",-0.178905019750752,0
"LTR82_2015_7.10.2015",-1.30175983787622,0
"LTR82_2017_24.10.2017",-0.654547583791769,0
"LTR82_2019_3.10.2019",0.393624204849314,0
"LTR82_2020_19.10.2020",-0.849531695152911,0
"LTR86_2010_27.9.2010",-0.23374687181355,0
"LTR86_2012_24.9.2012",-0.941799462104781,0
"LTR86_2013_24.9.2013",-1.24511757548682,0
"LTR86_2014_24.9.2014",1.71394393729233,0
"LTR86_2015_28.9.2015",1.09566425631489,0
"LTR86_2016_26.9.2016",-0.44208047338202,0
"LTR86_2017_16.10.2017",-0.489110709843935,0
"LTR86_2020_21.9.2020",-0.655668460894455,0
"LTR88_2010_5.10.2010",-1.1307432032979,1
"LTR88_2012_11.9.2012",-1.56442360832714,1
"LTR88_2013_16.10.2013",-1.60301264525666,1
"LTR88_2014_23.9.2014",-1.03993657670754,0
"LTR88_2015_21.10.2015",-0.69867426058515,0
"LTR88_2016_27.11.2016",1.12847541719776,0
"LTR88_2017_14.11.2017",NA,NA
"LTR88_2020_26.10.2020",0.260059433590919,0
"LTR92_2010_27.9.2010",-1.2492225995816,0
"LTR92_2012_24.9.2012",-1.23858411725591,0
"LTR92_2013_23.9.2013",1.31373015223397,0
"LTR92_2014_24.9.2014",0.0405247411603403,0
"LTR92_2015_28.9.2015",-0.981565604553179,0
"LTR92_2016_26.9.2016",-0.744989500398294,0
"LTR92_2017_13.10.2017",-1.54021676546691,1
"LTR92_2020_23.9.2020",0.317211976847293,0
